Acc_date,Customer,Department,Sum,Payment_date,Exec_date,Responsible,Payment_time,Exec_time,month
2024-02-22,Бизнес-центр,ВИК,63520.64,2024-05-07,2024-05-07,Яблоков,75.0,75.0,2024-02
2024-03-01,АМС,ВИК,57168.0,2024-03-01,2024-03-01,Яблоков,0.0,0.0,2024-03
2024-04-08,АМС,ОСС,48001.52,2024-04-08,2024-11-01,Мишин,0.0,207.0,2024-04
2024-04-08,АСН ОП АСЯ,ОСС,9627.75,2024-06-03,2024-06-03,Мишин,56.0,56.0,2024-04
2024-04-10,АМС ОП АМВО,ОЭЗиС,32304.0,2024-04-10,2024-04-10,Яблоков,0.0,0.0,2024-04
2024-04-10,АМС ОП АМВО,ОЭЗиС,13450.0,2024-04-10,2024-04-10,Яблоков,0.0,0.0,2024-04
2024-04-10,УК АГ,ОЭЗиС,237689.53,2024-04-11,2024-05-07,Кузьмин,1.0,27.0,2024-04
2024-04-11,АСН ОП АСЯ,ОСС,16542.86,2024-04-11,2024-04-11,Мишин,0.0,0.0,2024-04
2024-04-15,ААВ,ВИК,4500.0,2024-04-15,2024-04-15,Яблоков,0.0,0.0,2024-04
2024-04-18,АМС ОП АМВО,ОЭЗиС,120255.36,2024-04-05,2024-06-04,Кузьмин,-13.0,47.0,2024-04
2024-04-18,АСН ОП АСЯ,ОЭЗиС,3888600.0,2024-04-25,,Кузьмин,7.0,,2024-04
2024-04-22,Апарт-отель,ВИК,1364953.37,2024-04-23,2024-04-22,Яблоков,1.0,0.0,2024-04
2024-04-23,Стандарт движения,ВИК,213546.4,2024-04-24,2024-05-27,Яблоков,1.0,34.0,2024-04
2024-04-25,АСН,ОСС,338400.0,2024-04-25,2024-04-25,Мишин,0.0,0.0,2024-04
2024-04-27,АСН ОП АСЯ,ОЭЗиС,2066400.0,2024-05-05,,Кузьмин,8.0,,2024-04
2024-05-06,АМС ОП АМВО,ОЭЗиС,7116.0,2024-05-06,2024-05-06,Кузьмин,0.0,0.0,2024-05
2024-05-06,АСН,ВИК,183380.0,2024-06-17,2024-05-06,Яблоков,42.0,0.0,2024-05
2024-05-07,Бизнес-центр,ОЭЗиС,30000.0,2024-06-14,2024-06-11,Басов,38.0,35.0,2024-05
2024-05-07,УК АГ,ОЭЗиС,237689.54,2024-06-04,2024-05-07,Кузьмин,28.0,0.0,2024-05
